pair_id,cancer,metastasis,orgpair,freq,metdataset
0,cervix,kidney,False,19,autopsy
0,cervix,kidney,False,0,hcmdb
0,cervix,kidney,False,63,msk
1,cervix,lung,False,94,autopsy
1,cervix,lung,False,7,hcmdb
1,cervix,lung,True,1382,msk
2,cervix,vagina,False,7,autopsy
3,cervix,small_intestine,False,12,autopsy
3,cervix,small_intestine,False,0,hcmdb
4,cervix,stomach,False,2,autopsy
5,cervix,testis,False,0,autopsy
6,cervix,spleen,False,13,autopsy
6,cervix,spleen,False,0,hcmdb
7,cervix,heart,False,7,autopsy
8,cervix,gallbladder,False,3,autopsy
9,cervix,prostate,False,0,autopsy
10,cervix,bone,False,36,autopsy
10,cervix,bone,False,3,hcmdb
10,cervix,bone,False,486,msk
11,cervix,ovary,False,24,autopsy
11,cervix,ovary,False,0,hcmdb
11,cervix,ovary,True,233,msk
12,cervix,pancreas,False,6,autopsy
12,cervix,pancreas,False,0,hcmdb
13,cervix,bladder,False,10,autopsy
13,cervix,bladder,False,216,msk
14,cervix,skeletal_muscle,False,0,autopsy
14,cervix,skeletal_muscle,False,0,hcmdb
15,cervix,breast,False,0,autopsy
15,cervix,breast,False,0,hcmdb
15,cervix,breast,False,11,msk
16,cervix,skin,False,5,autopsy
16,cervix,skin,False,0,hcmdb
16,cervix,skin,False,91,msk
17,cervix,brain,False,1,autopsy
17,cervix,brain,False,1,hcmdb
17,cervix,brain,False,159,msk
18,cervix,adrenal_gland,False,23,autopsy
18,cervix,adrenal_gland,False,0,hcmdb
18,cervix,adrenal_gland,False,173,msk
19,cervix,thyroid,False,2,autopsy
20,cervix,colorectum,False,11,autopsy
20,cervix,colorectum,False,0,hcmdb
21,cervix,liver,False,97,autopsy
21,cervix,liver,False,4,hcmdb
21,cervix,liver,True,1967,msk
22,cervix,lymph_node,True,365,autopsy
22,cervix,lymph_node,True,22,hcmdb
22,cervix,lymph_node,False,653,msk
23,cervix,uterus,False,1,autopsy
24,kidney,lung,False,30,autopsy
24,kidney,lung,True,109,hcmdb
24,kidney,lung,True,78,ron
24,kidney,lung,True,126,msk
25,kidney,vagina,False,0,autopsy
26,kidney,small_intestine,False,4,autopsy
26,kidney,small_intestine,False,0,hcmdb
27,kidney,stomach,False,2,autopsy
28,kidney,testis,False,0,autopsy
29,kidney,spleen,False,3,autopsy
29,kidney,spleen,False,0,hcmdb
30,kidney,heart,False,8,autopsy
31,kidney,gallbladder,False,1,autopsy
32,kidney,prostate,False,1,autopsy
33,kidney,bone,False,20,autopsy
33,kidney,bone,False,9,hcmdb
33,kidney,bone,False,47,ron
33,kidney,bone,False,35,msk
34,kidney,ovary,False,1,autopsy
34,kidney,ovary,False,0,hcmdb
34,kidney,ovary,False,0,ron
34,kidney,ovary,False,0,msk
35,kidney,pancreas,False,9,autopsy
35,kidney,pancreas,False,1,hcmdb
36,kidney,bladder,False,2,autopsy
36,kidney,bladder,False,10,msk
37,kidney,skeletal_muscle,False,1,autopsy
37,kidney,skeletal_muscle,False,0,hcmdb
38,kidney,breast,False,1,autopsy
38,kidney,breast,False,0,hcmdb
38,kidney,breast,False,0,msk
39,kidney,skin,False,3,autopsy
39,kidney,skin,False,2,hcmdb
39,kidney,skin,False,3,ron
39,kidney,skin,False,7,msk
40,kidney,brain,False,4,autopsy
40,kidney,brain,False,0,hcmdb
40,kidney,brain,False,9,ron
40,kidney,brain,True,35,msk
41,kidney,adrenal_gland,False,18,autopsy
41,kidney,adrenal_gland,False,4,hcmdb
41,kidney,adrenal_gland,False,11,ron
41,kidney,adrenal_gland,False,10,msk
42,kidney,thyroid,False,1,autopsy
43,kidney,colorectum,False,5,autopsy
43,kidney,colorectum,False,0,hcmdb
44,kidney,liver,False,21,autopsy
44,kidney,liver,False,15,hcmdb
44,kidney,liver,False,22,ron
44,kidney,liver,False,54,msk
45,kidney,lymph_node,False,49,autopsy
45,kidney,lymph_node,False,5,hcmdb
45,kidney,lymph_node,False,32,ron
45,kidney,lymph_node,True,184,msk
46,kidney,uterus,False,0,autopsy
47,lung,kidney,True,30,autopsy
47,lung,kidney,False,0,hcmdb
47,lung,kidney,False,2,msk
48,lung,vagina,False,1,autopsy
49,lung,small_intestine,False,6,autopsy
49,lung,small_intestine,False,0,hcmdb
50,lung,stomach,False,5,autopsy
51,lung,testis,False,0,autopsy
52,lung,spleen,False,18,autopsy
52,lung,spleen,False,0,hcmdb
53,lung,heart,True,17,autopsy
54,lung,gallbladder,False,6,autopsy
55,lung,prostate,False,1,autopsy
56,lung,bone,False,38,autopsy
56,lung,bone,False,0,hcmdb
56,lung,bone,True,479,ron
56,lung,bone,False,18,msk
57,lung,ovary,False,0,autopsy
57,lung,ovary,False,0,hcmdb
57,lung,ovary,False,1,ron
57,lung,ovary,False,13,msk
58,lung,pancreas,False,23,autopsy
58,lung,pancreas,False,0,hcmdb
59,lung,bladder,False,1,autopsy
59,lung,bladder,False,4,msk
60,lung,skeletal_muscle,False,2,autopsy
60,lung,skeletal_muscle,False,0,hcmdb
61,lung,breast,False,0,autopsy
61,lung,breast,False,0,hcmdb
61,lung,breast,False,0,msk
62,lung,skin,False,8,autopsy
62,lung,skin,False,0,hcmdb
62,lung,skin,False,14,ron
62,lung,skin,False,4,msk
63,lung,brain,True,15,autopsy
63,lung,brain,True,6,hcmdb
63,lung,brain,True,337,ron
63,lung,brain,False,1,msk
64,lung,adrenal_gland,True,59,autopsy
64,lung,adrenal_gland,False,0,hcmdb
64,lung,adrenal_gland,True,152,ron
64,lung,adrenal_gland,False,6,msk
65,lung,thyroid,False,15,autopsy
66,lung,colorectum,False,9,autopsy
66,lung,colorectum,False,0,hcmdb
67,lung,liver,False,58,autopsy
67,lung,liver,False,0,hcmdb
67,lung,liver,False,220,ron
67,lung,liver,True,116,msk
68,lung,lymph_node,False,190,autopsy
68,lung,lymph_node,False,8,hcmdb
68,lung,lymph_node,False,206,ron
68,lung,lymph_node,False,28,msk
69,lung,uterus,False,1,autopsy
70,vagina,kidney,False,0,autopsy
71,vagina,lung,False,3,autopsy
72,vagina,small_intestine,False,0,autopsy
73,vagina,stomach,False,0,autopsy
74,vagina,testis,False,0,autopsy
75,vagina,spleen,False,0,autopsy
76,vagina,heart,False,2,autopsy
77,vagina,gallbladder,False,0,autopsy
78,vagina,prostate,False,0,autopsy
79,vagina,bone,False,1,autopsy
80,vagina,ovary,False,0,autopsy
81,vagina,pancreas,False,0,autopsy
82,vagina,bladder,False,0,autopsy
83,vagina,skeletal_muscle,False,0,autopsy
84,vagina,breast,False,0,autopsy
85,vagina,skin,False,0,autopsy
86,vagina,brain,False,0,autopsy
87,vagina,adrenal_gland,False,2,autopsy
88,vagina,thyroid,False,0,autopsy
89,vagina,colorectum,False,1,autopsy
90,vagina,liver,False,3,autopsy
91,vagina,lymph_node,False,4,autopsy
92,vagina,uterus,False,0,autopsy
93,small_intestine,kidney,False,0,autopsy
93,small_intestine,kidney,False,0,hcmdb
93,small_intestine,kidney,False,16,msk
94,small_intestine,lung,False,5,autopsy
94,small_intestine,lung,False,0,hcmdb
94,small_intestine,lung,False,247,msk
95,small_intestine,vagina,False,0,autopsy
96,small_intestine,stomach,False,1,autopsy
97,small_intestine,testis,False,0,autopsy
98,small_intestine,spleen,False,1,autopsy
98,small_intestine,spleen,False,0,hcmdb
99,small_intestine,heart,False,0,autopsy
100,small_intestine,gallbladder,False,1,autopsy
101,small_intestine,prostate,False,0,autopsy
102,small_intestine,bone,False,0,autopsy
102,small_intestine,bone,False,0,hcmdb
102,small_intestine,bone,True,1139,msk
103,small_intestine,ovary,False,1,autopsy
103,small_intestine,ovary,False,0,hcmdb
103,small_intestine,ovary,False,0,msk
104,small_intestine,pancreas,False,0,autopsy
104,small_intestine,pancreas,False,0,hcmdb
105,small_intestine,bladder,False,0,autopsy
105,small_intestine,bladder,True,325,msk
106,small_intestine,skeletal_muscle,False,0,autopsy
106,small_intestine,skeletal_muscle,False,0,hcmdb
107,small_intestine,breast,False,0,autopsy
107,small_intestine,breast,False,0,hcmdb
107,small_intestine,breast,False,7,msk
108,small_intestine,skin,False,0,autopsy
108,small_intestine,skin,False,0,hcmdb
108,small_intestine,skin,False,20,msk
109,small_intestine,brain,False,2,autopsy
109,small_intestine,brain,False,0,hcmdb
109,small_intestine,brain,False,121,msk
110,small_intestine,adrenal_gland,False,0,autopsy
110,small_intestine,adrenal_gland,False,0,hcmdb
110,small_intestine,adrenal_gland,False,71,msk
111,small_intestine,thyroid,False,0,autopsy
112,small_intestine,colorectum,False,2,autopsy
112,small_intestine,colorectum,False,0,hcmdb
113,small_intestine,liver,False,9,autopsy
113,small_intestine,liver,False,17,hcmdb
113,small_intestine,liver,False,272,msk
114,small_intestine,lymph_node,False,10,autopsy
114,small_intestine,lymph_node,True,32,hcmdb
114,small_intestine,lymph_node,True,752,msk
115,small_intestine,uterus,False,0,autopsy
116,stomach,kidney,False,10,autopsy
116,stomach,kidney,False,0,hcmdb
116,stomach,kidney,False,15,msk
117,stomach,lung,False,65,autopsy
117,stomach,lung,False,4,hcmdb
117,stomach,lung,False,50,ron
117,stomach,lung,True,113,msk
118,stomach,vagina,False,0,autopsy
119,stomach,small_intestine,True,24,autopsy
119,stomach,small_intestine,False,0,hcmdb
120,stomach,testis,False,0,autopsy
121,stomach,spleen,False,13,autopsy
121,stomach,spleen,False,0,hcmdb
122,stomach,heart,False,8,autopsy
123,stomach,gallbladder,True,20,autopsy
124,stomach,prostate,False,4,autopsy
125,stomach,bone,False,33,autopsy
125,stomach,bone,False,0,hcmdb
125,stomach,bone,False,29,ron
125,stomach,bone,True,85,msk
126,stomach,ovary,True,28,autopsy
126,stomach,ovary,False,0,hcmdb
126,stomach,ovary,True,8,ron
126,stomach,ovary,False,0,msk
127,stomach,pancreas,True,40,autopsy
127,stomach,pancreas,False,0,hcmdb
128,stomach,bladder,False,7,autopsy
128,stomach,bladder,False,1,msk
129,stomach,skeletal_muscle,False,1,autopsy
129,stomach,skeletal_muscle,False,0,hcmdb
130,stomach,breast,False,2,autopsy
130,stomach,breast,False,0,hcmdb
130,stomach,breast,False,1,msk
131,stomach,skin,False,9,autopsy
131,stomach,skin,False,0,hcmdb
131,stomach,skin,False,3,ron
131,stomach,skin,False,18,msk
132,stomach,brain,False,1,autopsy
132,stomach,brain,False,0,hcmdb
132,stomach,brain,False,4,ron
132,stomach,brain,True,29,msk
133,stomach,adrenal_gland,False,39,autopsy
133,stomach,adrenal_gland,False,0,hcmdb
133,stomach,adrenal_gland,False,5,ron
133,stomach,adrenal_gland,False,8,msk
134,stomach,thyroid,False,3,autopsy
135,stomach,colorectum,False,12,autopsy
