mint_id,tissue,tissuetype,rho,rank
13,adipose_tissue,cancer,0.43836072,28.0
13,appendix,cancer,0.6909091,703.0
13,bladder,cancer,0.49397725,164.5
13,bladder,metastasis,0.419757,322.5
13,bone,cancer,0.39880818,193.0
13,breast,cancer,0.42542714,178.0
13,cervix,cancer,0.3909091,70.0
13,colorectum,cancer,0.52380955,349.5
13,eye,cancer,0.39670464,56.0
13,gallbladder,cancer,0.42641205,39.0
13,kidney,cancer,0.5105962,233.0
13,liver,cancer,0.4255339,129.0
13,lung,cancer,0.59731734,893.0
13,lung,metastasis,0.36120504,164.5
13,lymph_node,metastasis,0.31273177,40.5
13,oesophagus,cancer,0.39718977,51.0
13,ovary,cancer,0.47165227,300.5
13,pancreas,cancer,0.51843405,175.0
13,prostate,cancer,0.682647,927.0
13,salivary_gland,cancer,0.40925094,139.0
13,skin,cancer,0.55688274,763.0
13,small_intestine,cancer,0.6636364,931.0
13,stomach,cancer,0.5,365.0
13,testis,cancer,0.3534278,15.0
13,testis,metastasis,-0.3217116,54.5
13,thyroid,cancer,0.44035125,222.0
13,tongue,cancer,0.4462212,368.5
13,tonsil,cancer,0.53672075,573.0
13,uterus,cancer,0.44473314,180.0
13,vagina,cancer,0.41994798,400.0
18,adipose_tissue,cancer,0.6109856,367.0
18,adrenal_gland,metastasis,0.5254992,537.5
18,appendix,cancer,0.49133685,205.0
18,bladder,cancer,0.5887724,646.0
18,bladder,metastasis,0.3983609,273.5
18,bone,cancer,0.4464842,476.0
18,bone,metastasis,0.5572083,685.5
18,brain,metastasis,0.4425576,318.5
18,breast,cancer,0.74390244,928.0
18,breast,metastasis,0.39464763,161.5
18,cervix,cancer,0.4694689,308.0
18,colorectum,cancer,0.6571763,860.0
18,colorectum,metastasis,0.53032243,336.0
18,eye,cancer,0.5785892,601.0
18,gallbladder,cancer,0.46838388,83.0
18,gallbladder,metastasis,0.37616256,139.5
18,heart,metastasis,0.41529122,111.0
18,kidney,cancer,0.7331426,932.0
18,kidney,metastasis,0.337823,80.0
18,liver,cancer,0.57264227,723.0
18,liver,metastasis,0.413249,399.0
18,lung,cancer,0.7387687,1002.0
18,lung,metastasis,0.50183696,613.5
18,lymph_node,metastasis,0.32756573,74.5
18,oesophagus,cancer,0.7521014,1003.0
18,ovary,cancer,0.4874762,341.0
18,ovary,metastasis,0.40095347,349.5
18,pancreas,cancer,0.71686745,898.0
18,pancreas,metastasis,0.43682933,291.5
18,prostate,cancer,0.34808218,21.0
18,salivary_gland,cancer,0.46013787,292.5
18,skin,cancer,0.48781395,470.5
18,skin,metastasis,0.41998228,261.5
18,small_intestine,cancer,0.5913332,752.0
18,small_intestine,metastasis,0.3733765,224.0
18,spleen,metastasis,0.34401184,83.5
18,stomach,cancer,0.5309761,470.0
18,testis,cancer,0.43061772,181.0
18,thyroid,cancer,0.5137842,510.0
18,thyroid,metastasis,0.49946186,313.5
18,uterus,cancer,0.5740334,733.0
18,vagina,metastasis,0.4309102,136.5
32,adipose_tissue,cancer,0.69107735,608.0
32,adrenal_gland,metastasis,0.3480906,92.5
32,appendix,cancer,0.56979,459.0
32,bladder,cancer,0.6194752,838.0
32,bladder,metastasis,0.30187073,35.5
32,bone,cancer,0.45199636,510.5
32,bone,metastasis,0.4094647,329.5
32,breast,cancer,0.46594432,328.0
32,breast,metastasis,0.5140041,212.5
32,cervix,cancer,0.6192481,900.0
32,colorectum,cancer,0.5921943,577.0
32,eye,cancer,0.6423707,754.5
32,gallbladder,cancer,0.6398705,738.0
32,kidney,cancer,0.61282116,655.0
32,liver,cancer,0.6308331,878.5
32,liver,metastasis,0.548422,640.5
32,lung,cancer,0.46848747,460.5
32,lung,metastasis,0.48816493,568.5
32,lymph_node,metastasis,0.4968421,621.5
32,oesophagus,cancer,0.5545762,537.0
32,ovary,metastasis,0.439171,434.5
32,pancreas,cancer,0.73377293,956.5
32,prostate,cancer,0.7660029,985.0
32,salivary_gland,cancer,0.55451906,602.0
32,skin,cancer,0.53140587,677.0
32,small_intestine,cancer,0.45879185,344.0
32,stomach,cancer,0.5723454,697.0
32,testis,cancer,0.5577161,796.5
32,thyroid,cancer,0.51453936,543.0
32,tonsil,cancer,0.55920833,675.0
32,uterus,cancer,0.6169964,833.0
32,vagina,cancer,0.55679995,750.5
46,adipose_tissue,cancer,0.74886626,815.5
46,adrenal_gland,cancer,0.4267735,488.5
46,adrenal_gland,metastasis,0.59287804,640.0
46,appendix,cancer,0.7818182,876.5
46,bladder,cancer,0.5894795,655.5
46,bladder,metastasis,0.45842147,389.5
46,bone,cancer,0.45255142,541.5
46,bone,metastasis,0.5470023,665.5
46,brain,metastasis,0.5798524,580.0
46,breast,cancer,0.58337027,825.5
46,breast,metastasis,0.3411828,110.0
46,cervix,cancer,0.54012394,667.5
46,colorectum,cancer,0.64285713,836.0
46,colorectum,metastasis,0.51301223,319.5
46,eye,cancer,0.6363636,715.0
46,gallbladder,cancer,0.6794805,885.5
46,gallbladder,metastasis,0.38774294,157.5
46,heart,metastasis,0.3861723,91.5
46,kidney,cancer,0.7081823,916.5
46,kidney,metastasis,0.37630916,179.0
46,liver,cancer,0.627886,845.5
46,liver,metastasis,0.52570814,626.5
46,lung,cancer,0.5008717,639.5
46,lung,metastasis,0.46803185,502.5
46,lymph_node,metastasis,0.44657207,497.5
46,oesophagus,cancer,0.6909091,914.5
46,ovary,cancer,0.45295426,182.5
46,ovary,metastasis,0.36491272,231.5
46,pancreas,cancer,0.682647,733.0
46,pancreas,metastasis,0.49720377,322.0
46,prostate,cancer,0.5591209,513.5
46,salivary_gland,cancer,0.43527475,185.5
46,skin,cancer,0.5209724,598.5
46,skin,metastasis,0.46483403,369.0
46,small_intestine,cancer,0.47314867,407.5
46,small_intestine,metastasis,0.50316185,398.5
46,spinal_cord,metastasis,0.33234704,33.0
46,stomach,cancer,0.63805807,928.5
46,testis,cancer,0.50596046,604.5
46,thyroid,cancer,0.51745725,574.5
46,thyroid,metastasis,0.55622786,340.0
46,tongue,cancer,0.48834077,542.5
46,uterus,cancer,0.5206246,477.5
46,vagina,cancer,0.49421063,653.5
46,vagina,metastasis,0.47468212,216.0
77,adipose_tissue,cancer,0.7534325,826.5
77,adrenal_gland,cancer,0.36355457,242.5
77,adrenal_gland,metastasis,0.5606503,609.5
77,appendix,cancer,0.67196167,660.5
77,bladder,cancer,0.57575756,571.5
77,bladder,metastasis,0.4113554,302.5
77,bone,cancer,0.31956875,12.5
77,bone,metastasis,0.65047836,746.5
77,brain,metastasis,0.81515485,693.5
77,breast,cancer,0.7902772,967.5
77,cervix,cancer,0.53891647,655.5
77,colorectum,cancer,0.7619048,993.5
77,colorectum,metastasis,0.440624,243.0
77,eye,cancer,0.6454545,797.0
77,gallbladder,cancer,0.69462514,927.5
77,gallbladder,metastasis,0.33583093,59.5
77,kidney,cancer,0.51620924,281.5
77,kidney,metastasis,0.33817875,95.5
77,liver,cancer,0.39175615,36.5
77,liver,metastasis,0.4090957,378.5
77,lung,cancer,0.591632,855.5
77,lung,metastasis,0.5714286,741.0
77,lymph_node,metastasis,0.43392032,462.5
77,oesophagus,cancer,0.58181816,678.5
77,ovary,cancer,0.60915244,930.5
77,ovary,metastasis,0.30721843,37.5
77,pancreas,cancer,0.59409285,456.5
77,pancreas,metastasis,0.417945,267.5
77,prostate,cancer,0.53116095,340.5
77,salivary_gland,cancer,0.60795,882.5
77,skin,cancer,0.5461819,732.5
77,skin,metastasis,0.49761277,437.5
77,small_intestine,cancer,0.48830104,459.0
77,stomach,cancer,0.5861845,765.5
77,testis,cancer,0.5372515,711.5
77,thyroid,cancer,0.3533489,12.5
77,thyroid,metastasis,0.40761134,195.5
77,tongue,cancer,0.43310758,320.5
77,tonsil,cancer,0.5191168,524.5
77,uterus,cancer,0.5119585,452.5
77,vagina,cancer,0.3441624,69.5
77,vagina,metastasis,0.45036438,182.5
82,adipose_tissue,cancer,0.6880734,574.5
82,adrenal_gland,cancer,0.33553037,124.5
82,appendix,cancer,0.5327521,261.5
82,bladder,cancer,0.56782067,528.5
82,bladder,metastasis,0.33645123,124.0
82,bone,cancer,0.52820516,884.0
82,bone,metastasis,0.39092624,270.0
82,brain,metastasis,0.4236308,277.0
82,breast,cancer,0.63414633,888.5
82,cervix,cancer,0.42834172,189.5
82,colorectum,cancer,0.5942715,603.5
82,eye,cancer,0.4657583,224.5
82,gallbladder,cancer,0.55591005,419.5
82,kidney,cancer,0.5041186,204.5
82,liver,cancer,0.5037988,482.5
82,lung,cancer,0.5657519,796.5
82,lymph_node,metastasis,0.3279851,79.0
82,oesophagus,cancer,0.5525172,500.5
82,ovary,cancer,0.36737064,37.5
82,ovary,metastasis,-0.42844218,407.0
82,pancreas,cancer,0.57987195,286.5
82,prostate,cancer,0.56675756,594.5
82,salivary_gland,cancer,0.48858956,378.0
82,skin,cancer,0.46503437,407.5
82,small_intestine,cancer,0.40384614,147.5
82,small_intestine,metastasis,0.37896305,269.0
82,spleen,metastasis,0.43418804,252.0
82,stomach,cancer,0.45934573,158.5
82,testis,cancer,0.5485744,734.5
82,thyroid,cancer,0.60397106,918.5
82,tongue,cancer,0.40925258,211.5
82,tonsil,cancer,0.4145535,160.5
82,uterus,cancer,0.56621593,705.5
82,vagina,cancer,0.35014465,84.5
82,vagina,metastasis,0.3129647,13.0
86,adipose_tissue,cancer,-0.80091745,949.0
86,adrenal_gland,cancer,-0.43774936,515.0
86,appendix,cancer,-0.75171036,819.0
86,bladder,cancer,-0.7262823,1000.0
86,bone,cancer,-0.48424402,631.5
86,brain,metastasis,-0.4453939,324.5
86,breast,cancer,-0.51485175,528.0
86,cervix,cancer,-0.7061522,1002.0
86,colorectum,cancer,-0.6345726,803.0
86,eye,cancer,-0.71337986,871.0
86,gallbladder,cancer,-0.7132719,984.0
86,kidney,cancer,-0.8140054,991.0
86,liver,cancer,-0.7590032,998.0
86,liver,metastasis,0.36780316,247.0
86,lung,cancer,-0.647118,965.0
86,lung,metastasis,-0.54761904,700.0
86,lymph_node,metastasis,0.3954881,331.5
86,oesophagus,cancer,-0.65289617,839.0
86,ovary,cancer,-0.5649107,750.0
86,pancreas,cancer,-0.6179524,567.0
86,prostate,cancer,-0.6713832,899.0
86,salivary_gland,cancer,-0.7273009,979.0
86,skin,cancer,-0.6988846,1000.0
86,small_intestine,cancer,-0.475641,429.0
86,small_intestine,metastasis,0.374156,229.5
86,stomach,cancer,-0.64498895,949.0
86,testis,cancer,-0.58124816,861.0
86,thymus,cancer,-0.47361785,70.0
86,thyroid,cancer,-0.62715995,962.0
86,tongue,cancer,-0.4420583,347.0
86,tonsil,cancer,-0.4405979,255.0
86,uterus,cancer,-0.62220037,866.0
86,vagina,cancer,-0.47282133,569.0
86,vagina,metastasis,0.36379325,62.0
96,adipose_tissue,cancer,0.5433847,130.0
96,adrenal_gland,cancer,0.32764518,111.5
96,adrenal_gland,metastasis,0.5226394,530.0
96,appendix,cancer,0.8363636,925.5
96,bladder,cancer,0.398475,45.5
96,bladder,metastasis,0.30152854,18.0
96,bone,cancer,0.48830104,667.0
96,bone,metastasis,0.40926266,324.0
96,brain,metastasis,0.5834612,589.5
96,breast,cancer,0.60790557,854.5
96,breast,metastasis,-0.30716082,43.0
96,cervix,cancer,0.37767246,27.5
96,colorectum,cancer,0.46991342,212.5
96,eye,cancer,0.03371674,1.5
96,gallbladder,cancer,0.37138984,13.5
96,kidney,cancer,0.7156264,925.0
96,kidney,metastasis,0.3040018,20.0
96,liver,cancer,0.55649793,678.5
96,lung,cancer,0.34706268,9.5
96,lung,metastasis,0.4047619,313.0
96,lymph_node,metastasis,0.51666665,659.0
96,oesophagus,cancer,0.5214804,342.5
96,ovary,cancer,0.36780953,39.5
96,ovary,metastasis,0.317113,70.5
96,pancreas,cancer,0.5296131,192.5
96,pancreas,metastasis,0.37077636,194.0
96,prostate,cancer,0.573683,624.5
96,prostate,metastasis,0.34390154,43.0
96,salivary_gland,cancer,0.3272727,4.5
96,skin,cancer,0.53962266,713.5
96,skin,metastasis,0.5235395,465.5
96,small_intestine,cancer,0.5642398,674.5
96,spinal_cord,metastasis,0.33234704,33.0
96,spleen,metastasis,0.37260076,153.0
96,stomach,cancer,0.46661854,192.5
96,testis,cancer,0.5466054,728.5
96,thyroid,cancer,0.56748194,743.5
96,thyroid,metastasis,0.3618832,115.0
96,tonsil,cancer,0.36200875,68.5
96,uterus,cancer,0.47272727,236.5
156,adrenal_gland,cancer,-0.53967494,684.0
156,appendix,cancer,-0.53504527,271.0
156,bladder,cancer,-0.5214052,248.0
156,bone,cancer,-0.3998502,206.0
156,brain,metastasis,0.50490135,448.5
156,breast,cancer,-0.42488486,166.0
156,cervix,cancer,-0.6008123,840.0
156,colorectum,cancer,-0.49689096,287.0
156,eye,cancer,-0.54175913,508.0
156,gallbladder,cancer,-0.6627921,825.0
156,kidney,cancer,-0.44923973,35.0
156,liver,cancer,-0.5689066,715.0
