mint_id,cancer,metastasis,hpa_only_gene,rho,signal,metdataset,fdr,tau
0,GNAS,ADCY5,True,-0.3346595008531866,-1.0,autopsy,5.907095375835953e-16,0.525
0,GNAS,ADCY5,True,-0.3520152027597306,-1.0,hcmdb,1.9538326889765686e-09,0.525
0,GNAS,ADCY5,True,-0.3606655711254042,-1.0,msk,6.363764393986776e-08,0.525
1,COL6A3,ITGA4,False,0.3841467171318182,1.0,msk,7.022203702704462e-09,0.649
1,COL6A3,ITGA4,False,0.4312944374728416,1.0,ron,0.0015704379037277,0.649
1,COL6A3,ITGA4,False,0.3470624008923053,1.0,autopsy,3.8136045454985855e-17,0.649
2,ITGA9,COL9A3,False,-0.3327133593387004,-1.0,hcmdb,1.3543552127910258e-08,0.676
2,ITGA9,COL9A3,False,-0.4039337272884971,-1.0,msk,9.98352508214138e-10,0.676
2,ITGA9,COL9A3,False,-0.4070626194856418,-1.0,ron,0.0031011361267766,0.676
3,HLA-C,KLRC3,False,0.4649844525359383,1.0,ron,0.0005516962313305,0.791
3,HLA-C,KLRC3,False,0.3624744467993392,1.0,msk,5.431284820583532e-08,0.791
3,HLA-C,KLRC3,False,0.3103816176490548,1.0,hcmdb,1.2319983033232793e-07,0.791
4,ILDR1,LILRB1,False,0.3618351979680217,1.0,hcmdb,6.337226761655205e-10,0.751
4,ILDR1,LILRB1,False,0.4648181890374607,1.0,msk,1.1024545583414513e-12,0.751
4,ILDR1,LILRB1,False,0.3071384737055187,1.0,autopsy,1.6833791079217173e-13,0.751
4,ILDR1,LILRB1,False,0.657737079524021,1.0,ron,1.5900026780855528e-07,0.751
5,THBS2,ITGB7,False,0.3912645696000058,1.0,ron,0.0047820722074002,0.591
5,THBS2,ITGB7,False,0.3005705353782861,1.0,msk,9.211725651844905e-06,0.591
5,THBS2,ITGB7,False,0.3773069636889421,1.0,autopsy,3.020895856075701e-20,0.591
6,ANGPTL2,TLR4,False,0.3798480281025982,1.0,autopsy,1.5784646900124074e-20,0.434
6,ANGPTL2,TLR4,False,0.5091125006176348,1.0,ron,0.0001236369868507,0.434
