gene_id,cancer_drug,noncancer_drug,repurposing_candidate,n_mints
A2M,0,0,False,3
ABCA1,0,1,True,3
ABCB1,4,3,False,3
ABCG2,0,0,False,3
ACKR1,0,0,False,9
ACKR3,0,0,False,3
ACTN1,0,0,False,3
ACVR1,0,2,True,6
ACVR1B,0,0,False,6
ACVR1C,0,0,False,3
ACVR2A,0,1,True,7
ACVR2B,0,2,True,6
ADAM10,0,0,False,6
ADAM15,0,0,False,4
ADAM17,0,1,True,6
ADAM19,0,0,False,3
ADAM23,0,0,False,3
ADAM29,0,0,False,3
ADAMTS13,0,0,False,3
ADAMTS4,0,0,False,3
ADCY5,0,0,False,6
ADCYAP1R1,0,0,False,11
ADGRA2,0,0,False,4
ADGRA3,0,0,False,3
ADGRE2,0,0,False,15
ADO,0,0,False,4
ADORA2A,11,20,False,15
ADRA2A,8,52,False,3
ADRB2,6,89,False,3
AGTR1,3,20,False,3
ALCAM,1,0,False,3
ANGPT1,2,1,False,3
ANGPTL2,0,0,False,3
ANGPTL6,0,0,False,4
ANPEP,1,1,False,7
ANXA1,0,0,False,3
ANXA2,0,0,False,7
APLP2,0,0,False,4
APP,0,13,True,13
AQP3,0,0,False,4
ARF1,0,0,False,7
ARRB2,0,0,False,9
AXL,5,2,False,22
B2M,0,0,False,46
BACE1,0,4,True,10
BAG6,0,0,False,3
BCR,14,12,False,11
BGN,0,0,False,3
BMP1,0,0,False,3
BMP4,0,0,False,3
BMPR1A,0,2,True,3
BMPR1B,0,2,True,3
BMPR2,0,2,True,6
BMX,1,2,False,3
BOC,0,0,False,13
BTK,11,23,False,63
C1QA,0,0,False,7
C1QB,0,0,False,6
C1QBP,0,0,False,3
C3,0,3,True,3
C5AR1,1,2,False,6
CADM1,0,0,False,4
CAMK2A,0,0,False,3
CAMK2D,0,0,False,4
CAMK2G,0,0,False,4
CASP7,0,1,True,11
CCL13,0,0,False,6
CCL14,0,0,False,24
CCL16,0,0,False,18
CCL19,0,0,False,9
CCL2,1,1,False,20
CCL21,0,0,False,13
CCL22,0,0,False,3
CCL23,0,0,False,26
CCL26,0,0,False,13
CCL28,0,0,False,21
CCL4,0,0,False,7
CCL5,0,0,False,23
CCL8,0,0,False,13
CCN1,0,0,False,10
CCN2,1,1,False,7
CCR1,0,3,True,51
CCR10,0,0,False,12
CCR2,2,10,False,6
CCR5,3,14,False,30
CCR7,0,0,False,3
CCR9,0,1,True,6
CD14,0,2,True,28
CD151,0,0,False,3
CD160,0,0,False,11
CD2,1,2,False,3
CD200,1,1,False,3
CD200R1,0,0,False,3
CD226,0,0,False,15
CD247,0,0,False,20
CD248,1,1,False,3
CD274,13,12,False,10
CD276,2,2,False,3
CD28,1,1,False,3
CD300C,0,0,False,3
CD300E,0,0,False,3
CD300LF,0,0,False,13
CD300LG,0,0,False,3
CD320,0,0,False,7
CD33,4,2,False,40
CD34,0,0,False,4
CD37,0,3,True,7
CD38,4,4,False,3
CD3D,9,10,False,3
CD3E,13,15,False,19
CD3G,9,10,False,3
CD4,1,5,False,120
CD40,7,8,False,25
CD40LG,0,5,True,3
CD44,1,1,False,19
CD47,2,2,False,16
CD5,0,1,True,11
CD53,0,0,False,11
CD55,0,0,False,6
CD59,0,0,False,9
