gene_id,tissue,tissuetype,rho
A2M,skin,metastasis,0.6469549633766489
A2M,brain,metastasis,0.9159987294294596
ABCA1,skin,metastasis,0.6214172674538865
ABCB1,bone,metastasis,0.7029350233548073
ABCG2,brain,metastasis,0.7563292261344161
ABCG2,bone,metastasis,0.7615129419677079
ACKR1,colorectum,cancer,0.6988459044322258
ACKR1,stomach,cancer,0.6386005678432409
ACKR1,lung,cancer,0.6416498957267991
ACKR1,breast,cancer,0.735565707852878
ACKR3,ovary,metastasis,0.5450299965706169
ACKR3,lymph_node,metastasis,0.6333333333333333
ACKR3,liver,metastasis,0.6479926924812927
ACKR3,ovary,cancer,0.5991342773006497
ACTN1,uterus,cancer,0.6575411015672014
ACTN1,breast,cancer,0.8348662891649651
ACTN1,breast,metastasis,0.4621765626665619
ACTN1,kidney,cancer,0.7569266600163388
ACTN1,stomach,cancer,0.6933656597839636
ACTN1,ovary,cancer,0.7186577947024425
ACVR1,brain,metastasis,0.8403658068160178
ACVR1,skin,metastasis,0.8938193572966859
ACVR1,bladder,cancer,0.6293834825086579
ACVR1,tonsil,cancer,-0.7332522242918669
ACVR1,tongue,cancer,-0.7158024080409018
ACVR1,skin,cancer,-0.6196076096084033
ACVR1,ovary,cancer,-0.5953971254995083
ACVR1,bone,metastasis,0.6312742623199665
ACVR1B,ovary,cancer,-0.5953971254995083
ACVR1B,bladder,cancer,-0.6743255760056606
ACVR1B,skin,cancer,-0.6196076096084033
ACVR1B,tongue,cancer,-0.7158024080409018
ACVR1B,tonsil,cancer,-0.7332522242918669
ACVR1C,spinal_cord,metastasis,0.3725548172691584
ACVR1C,skin,cancer,-0.6196076096084033
ACVR1C,tonsil,cancer,-0.7332522242918669
ACVR1C,ovary,cancer,-0.5953971254995083
ACVR1C,tongue,cancer,-0.7158024080409018
ACVR2A,bladder,cancer,-0.6743255760056606
ACVR2A,tongue,cancer,-0.7158024080409018
ACVR2A,skin,cancer,-0.6196076096084033
ACVR2A,ovary,cancer,-0.5953971254995083
ACVR2A,tonsil,cancer,-0.7332522242918669
ACVR2B,skin,cancer,-0.6196076096084033
ACVR2B,tonsil,cancer,-0.7332522242918669
ACVR2B,tongue,cancer,-0.7158024080409018
ACVR2B,ovary,cancer,-0.5953971254995083
ACVR2B,bladder,cancer,-0.6743255760056606
ADAM10,stomach,cancer,-0.6666666666666669
ADAM10,ovary,cancer,0.6091524285846669
ADAM10,gallbladder,cancer,0.6946251664349543
ADAM10,lymph_node,metastasis,0.6666666666666667
ADAM10,breast,cancer,0.790277206784084
ADAM10,eye,cancer,-0.8154918651649875
